Iter	Fold	TestAcc	ACC1	PRE1	REC1	F1_1	ACC2	PRE2	REC2	F1_2
0	0	-	0.7488	0.7296	0.7903	0.7583	0.7488	0.7690	0.707717	0.7366
0	1	-	0.7457	0.7382	0.7618	0.7490	0.7457	0.7527	0.728850	0.7398
0	2	-	0.7411	0.7296	0.7693	0.7478	0.7411	0.7524	0.711517	0.7298
0	3	-	0.7673	0.7394	0.8237	0.7791	0.7673	0.8012	0.707067	0.7509
0	4	-	0.7637	0.7590	0.7735	0.7644	0.7637	0.7719	0.755367	0.7617
1	0	-	0.7557	0.7412	0.7889	0.7633	0.7557	0.7748	0.720983	0.7455
1	1	-	0.7440	0.7414	0.7562	0.7458	0.7440	0.7471	0.736900	0.7396
1	2	-	0.7390	0.7279	0.7604	0.7421	0.7390	0.7528	0.719767	0.7342
1	3	-	0.7702	0.7452	0.8266	0.7831	0.7702	0.8024	0.713250	0.7542
1	4	-	0.7540	0.7416	0.7764	0.7577	0.7540	0.7662	0.731050	0.7471
2	0	-	0.7557	0.7373	0.7958	0.7645	0.7557	0.7756	0.717150	0.7444
2	1	-	0.7418	0.7344	0.7620	0.7463	0.7418	0.7529	0.723750	0.7362
2	2	-	0.7446	0.7386	0.7578	0.7461	0.7446	0.7510	0.734483	0.7403
2	3	-	0.7741	0.7420	0.8353	0.7858	0.7741	0.8109	0.710083	0.7570
2	4	-	0.7501	0.7471	0.7587	0.7520	0.7501	0.7545	0.742183	0.7476
3	0	-	0.7502	0.7337	0.7924	0.7607	0.7502	0.7677	0.706550	0.7345
3	1	-	0.7501	0.7470	0.7619	0.7527	0.7501	0.7575	0.740417	0.7471
3	2	-	0.7458	0.7339	0.7744	0.7534	0.7458	0.7584	0.717150	0.7369
3	3	-	0.7703	0.7420	0.8335	0.7841	0.7703	0.8047	0.704450	0.7498
3	4	-	0.7508	0.7456	0.7592	0.7503	0.7508	0.7579	0.739583	0.7462
4	0	-	0.7540	0.7439	0.7821	0.7614	0.7540	0.7659	0.726250	0.7445
4	1	-	0.7508	0.7437	0.7675	0.7538	0.7508	0.7605	0.734200	0.7455
4	2	-	0.7418	0.7290	0.7688	0.7471	0.7418	0.7568	0.712750	0.7326
4	3	-	0.7729	0.7465	0.8267	0.7839	0.7729	0.8034	0.716383	0.7566
4	4	-	0.7483	0.7420	0.7595	0.7501	0.7483	0.7538	0.736333	0.7442
5	0	-	0.7489	0.7295	0.7908	0.7582	0.7489	0.7684	0.707033	0.7358
5	1	-	0.7459	0.7436	0.7545	0.7471	0.7459	0.7488	0.740400	0.7424
5	2	-	0.7388	0.7271	0.7640	0.7440	0.7388	0.7504	0.713583	0.7304
5	3	-	0.7750	0.7449	0.8355	0.7866	0.7750	0.8150	0.712950	0.7591
5	4	-	0.7579	0.7493	0.7742	0.7612	0.7579	0.7654	0.737317	0.7507
6	0	-	0.7496	0.7306	0.7797	0.7538	0.7496	0.7683	0.716700	0.7411
6	1	-	0.7427	0.7357	0.7569	0.7441	0.7427	0.7511	0.728700	0.7377
6	2	-	0.7379	0.7229	0.7702	0.7448	0.7379	0.7527	0.705633	0.7273
6	3	-	0.7721	0.7498	0.8162	0.7813	0.7721	0.7968	0.724233	0.7582
6	4	-	0.7535	0.7470	0.7644	0.7549	0.7535	0.7598	0.742233	0.7500
7	0	-	0.7500	0.7297	0.7932	0.7586	0.7500	0.7767	0.708017	0.7388
7	1	-	0.7414	0.7374	0.7501	0.7424	0.7414	0.7449	0.734200	0.7381
7	2	-	0.7357	0.7250	0.7557	0.7397	0.7357	0.7454	0.713950	0.7290
7	3	-	0.7715	0.7442	0.8197	0.7791	0.7715	0.7974	0.723950	0.7581
7	4	-	0.7515	0.7430	0.7588	0.7505	0.7515	0.7560	0.740633	0.7479
8	0	-	0.7505	0.7306	0.7943	0.7598	0.7505	0.7773	0.709033	0.7401
8	1	-	0.7487	0.7384	0.7710	0.7534	0.7487	0.7601	0.722867	0.7396
8	2	-	0.7518	0.7407	0.7735	0.7545	0.7518	0.7649	0.729917	0.7449
8	3	-	0.7706	0.7439	0.8227	0.7804	0.7706	0.8007	0.719450	0.7572
8	4	-	0.7494	0.7407	0.7634	0.7508	0.7494	0.7575	0.734733	0.7449
9	0	-	0.7489	0.7311	0.7897	0.7586	0.7489	0.7692	0.705533	0.7352
9	1	-	0.7494	0.7417	0.7639	0.7510	0.7494	0.7584	0.736833	0.7459
9	2	-	0.7444	0.7337	0.7685	0.7499	0.7444	0.7555	0.720100	0.7365
9	3	-	0.7671	0.7402	0.8293	0.7799	0.7671	0.8072	0.709517	0.7524
9	4	-	0.7483	0.7359	0.7660	0.7495	0.7483	0.7549	0.727533	0.7397
10	0	-	0.7486	0.7331	0.7820	0.7560	0.7486	0.7641	0.713800	0.7372
10	1	-	0.7419	0.7383	0.7525	0.7435	0.7419	0.7499	0.731000	0.7382
10	2	-	0.7404	0.7282	0.7661	0.7459	0.7404	0.7541	0.715417	0.7335
10	3	-	0.7745	0.7419	0.8372	0.7859	0.7745	0.8183	0.711800	0.7602
10	4	-	0.7554	0.7486	0.7718	0.7596	0.7554	0.7628	0.738250	0.7499
11	0	-	0.7544	0.7347	0.7872	0.7591	0.7544	0.7738	0.721450	0.7455
11	1	-	0.7514	0.7407	0.7739	0.7563	0.7514	0.7632	0.729650	0.7453
11	2	-	0.7424	0.7328	0.7640	0.7466	0.7424	0.7552	0.721450	0.7363
11	3	-	0.7684	0.7443	0.8235	0.7809	0.7684	0.8013	0.714833	0.7542
11	4	-	0.7463	0.7374	0.7595	0.7480	0.7463	0.7523	0.732050	0.7416
12	0	-	0.7517	0.7333	0.7849	0.7575	0.7517	0.7703	0.717817	0.7425
12	1	-	0.7446	0.7373	0.7704	0.7515	0.7446	0.7555	0.718400	0.7340
12	2	-	0.7460	0.7408	0.7538	0.7467	0.7460	0.7525	0.736283	0.7437
12	3	-	0.7735	0.7524	0.8143	0.7815	0.7735	0.7960	0.733950	0.7631
12	4	-	0.7440	0.7359	0.7530	0.7441	0.7440	0.7475	0.730633	0.7388
13	0	-	0.7498	0.7307	0.7923	0.7581	0.7498	0.7742	0.710283	0.7383
13	1	-	0.7392	0.7319	0.7580	0.7435	0.7392	0.7498	0.719117	0.7327
13	2	-	0.7467	0.7376	0.7691	0.7526	0.7467	0.7558	0.722017	0.7380
13	3	-	0.7781	0.7552	0.8308	0.7888	0.7781	0.8093	0.728150	0.7639
13	4	-	0.7537	0.7480	0.7659	0.7558	0.7537	0.7621	0.739750	0.7497
14	0	-	0.7462	0.7332	0.7842	0.7548	0.7462	0.7679	0.713267	0.7361
14	1	-	0.7349	0.7311	0.7546	0.7414	0.7349	0.7413	0.711800	0.7250
14	2	-	0.7456	0.7370	0.7651	0.7502	0.7456	0.7539	0.722167	0.7370
14	3	-	0.7713	0.7474	0.8246	0.7825	0.7713	0.8031	0.720300	0.7576
14	4	-	0.7466	0.7409	0.7520	0.7458	0.7466	0.7493	0.737600	0.7428
-	-	0.7524	0.7524	0.7388	0.7811	0.7580	0.7524	0.7681	0.7233	0.7436
